"BANKID","ADDRESS","CBSA","CBSA_DIV","CBSA_DIV_FLG","CBSA_DIV_NO","CBSA_METRO","CBSA_METRO_FLG","CBSA_METRO_NAME","CBSA_MICRO_FLG","CBSA_NO","CERT","CITY","COUNTY","ESTYMD","FI_UNINUM","MAINOFF","NAME","OFFNAME","OFFNUM","RUNDATE","SERVTYPE","STALP","STCNTY","STNAME","UNINUM","ZIP","AUTO_UNIQUE_ID_2021-06-10_Cristinakim30_SDIC_Banks_all","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType"
"2758","3340 Via Mercato","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Carlsbad","San Diego","11/7/2014","417","0","Jpmorgan Chase Bank, National Association","La Costa Town Square Baranch","7933","6/10/2021","11","CA","6073","California","561905","92009",11,"USCGeocoder",1312.556,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","33648868.427761","ArealInterpolationGeometricCentroid","USPSZip","60","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","1",33.099272,-117.270924,"Relaxed;Soundex","","","","","","","","","","","","","",""
"2759","2121 Olympic Pkwy","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Chula Vista","San Diego","11/15/2004","417","0","Jpmorgan Chase Bank, National Association","Chula Vista-Eastlake Terraces Branch","6245","6/10/2021","11","CA","6073","California","464244","91915",12,"USCGeocoder",125.0045,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","8150.8667690563","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",32.628409004164,-116.966749876009,"Exact","","","","","","","","","","","","","",""
"2760","501 H Street","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Chula Vista","San Diego","11/1/1934","417","0","Jpmorgan Chase Bank, National Association","H Street Branch","4746","6/10/2021","11","CA","6073","California","273784","91910",13,"USCGeocoder",576.3646,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.6323206,-117.0857242,"Exact","","","","","","","","","","","","","",""
"2761","503 Telegraph Canyon Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Chula Vista","San Diego","11/29/1957","417","0","Jpmorgan Chase Bank, National Association","Telegraph Canyon Branch","4959","6/10/2021","11","CA","6073","California","282934","91910",14,"USCGeocoder",343.7442,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.6296605,-117.0415447,"Exact","","","","","","","","","","","","","",""
"2762","330 East H Street","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Chula Vista","San Diego","6/30/1988","417","0","Jpmorgan Chase Bank, National Association","Terra Nova Branch","4651","6/10/2021","11","CA","6073","California","276039","91910",15,"USCGeocoder",46.8852,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.6409747,-117.0513291,"Exact","","","","","","","","","","","","","",""
"2763","1120 Broadway","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Chula Vista","San Diego","7/1/2009","417","0","Jpmorgan Chase Bank, National Association","Chula Vista Naples Branch","7123","6/10/2021","11","CA","6073","California","510835","91911",16,"USCGeocoder",265.6431,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","8358.55787613569","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",32.6095083446878,-117.081177977661,"Exact","","","","","","","","","","","","","",""
"2764","2245 Otay Lakes Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Chula Vista","San Diego","12/14/2011","417","0","Jpmorgan Chase Bank, National Association","Otay Lakes And Eastlake Pkwy Branch","7600","6/10/2021","11","CA","6073","California","532612","91915",17,"USCGeocoder",359.3652,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","9030.34735983773","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",32.6478633486593,-116.966594521629,"Exact","","","","","","","","","","","","","",""
"2765","1000 Orange Avenue","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Coronado","San Diego","11/1/1934","417","0","Jpmorgan Chase Bank, National Association","Coronado Branch","4747","6/10/2021","11","CA","6073","California","273790","92118",18,"USCGeocoder",218.7399,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.6853115,-117.1790138,"Exact","","","","","","","","","","","","","",""
"2766","2770 Via De La Valle","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Del Mar","San Diego","7/8/1957","417","0","Jpmorgan Chase Bank, National Association","Del Mar Branch","4979","6/10/2021","11","CA","6073","California","282816","92014",19,"USCGeocoder",187.9328,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","22113.8397407306","LinearInterpolationAddressRange","StreetSegment","98.9940828402367","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",32.9812326461819,-117.244962420392,"Relaxed","","","","","","","","","","","","","",""
"2767","1435 Camino Del Mar","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Del Mar","San Diego","8/8/2017","417","0","Jpmorgan Chase Bank, National Association","Del Mar Village Branch","8019","6/10/2021","11","CA","6073","California","591159","92014",20,"USCGeocoder",708.8502,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1478.48793090926","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",32.9591752337994,-117.265071633097,"Exact","","","","","","","","","","","","","",""
"2768","866 North Johnson Avenue","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","El Cajon","San Diego","1889-01-01","417","0","Jpmorgan Chase Bank, National Association","El Cajon Branch","4887","6/10/2021","11","CA","6073","California","268887","92020",21,"USCGeocoder",78.1247,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.8067342,-116.9714798,"Exact","","","","","","","","","","","","","",""
"2769","2644 Jamacha Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","El Cajon","San Diego","6/30/1989","417","0","Jpmorgan Chase Bank, National Association","Rancho San Diego East Branch","4775","6/10/2021","11","CA","6073","California","273962","92019",22,"USCGeocoder",125.0045,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.7442556,-116.9323687,"Exact","","","","","","","","","","","","","",""
"2770","1790 East Main Street","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","El Cajon","San Diego","11/29/1957","417","0","Jpmorgan Chase Bank, National Association","El Cajon East Branch","4958","6/10/2021","11","CA","6073","California","282932","92021",23,"USCGeocoder",234.3902,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.8147279,-116.9173741,"Exact","","","","","","","","","","","","","",""
"2771","1133 Avocado Blvd","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","El Cajon","San Diego","12/1/2010","417","0","Jpmorgan Chase Bank, National Association","Avocado And Chase Branch","7292","6/10/2021","11","CA","6073","California","521719","92020",24,"USCGeocoder",124.9852,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","94.0828402366864","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.7799467,-116.9575368,"Relaxed","","","","","","","","","","","","","",""
"2772","105 North El Camino Real","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Encinitas","San Diego","7/8/1957","417","0","Jpmorgan Chase Bank, National Association","Encinitas Branch","4978","6/10/2021","11","CA","6073","California","282813","92024",25,"USCGeocoder",406.2681,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7303.22402996011","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.0488440326283,-117.259721616935,"Exact","","","","","","","","","","","","","",""
"2773","1080 North El Camino Real","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Encinitas","San Diego","9/12/2012","417","0","Jpmorgan Chase Bank, National Association","El Camino Real & Leucadia Banking Ce","7637","6/10/2021","11","CA","6073","California","534053","92024",26,"USCGeocoder",137.1794,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5121.06719266088","LinearInterpolationAddressRange","StreetSegment","95.8579881656805","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.0336057670588,-117.256451485516,"Relaxed","","","","","","","","","","","","","",""
"2774","326-C W El Norte Pkwy","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Escondido","San Diego","11/1/1934","417","0","Jpmorgan Chase Bank, National Association","Del Norte Branch","4758","6/10/2021","11","CA","6073","California","273827","92026",27,"USCGeocoder",296.8871,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4800.51961770933","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.1433985850013,-117.096136101274,"Exact","","","","","","","","","","","","","",""
"2775","325 West Felicita Avenue","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Escondido","San Diego","6/30/1989","417","0","Jpmorgan Chase Bank, National Association","Escondido South Branch","4953","6/10/2021","11","CA","6073","California","266545","92025",28,"USCGeocoder",171.9059,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6020.82252069609","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.1044239722455,-117.073380026708,"Exact","","","","","","","","","","","","","",""
"2776","150 N Centre City Parkway","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Escondido","San Diego","1889-01-01","417","0","Jpmorgan Chase Bank, National Association","Escondido Branch","4872","6/10/2021","11","CA","6073","California","268859","92025",29,"USCGeocoder",171.8671,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2686.85315737454","LinearInterpolationAddressRange","StreetSegment","95.8579881656805","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",33.1186283203664,-117.086276930674,"Relaxed;Soundex","","","","","","","","","","","","","",""
"2777","1401 East Valley Parkway","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Escondido","San Diego","12/15/2009","417","0","Jpmorgan Chase Bank, National Association","Escondido Valley Parkway Bnkg Ctr Br","7063","6/10/2021","11","CA","6073","California","500161","92027",30,"USCGeocoder",603.6119,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",33.1320127,-117.0627152,"Exact","","","","","","","","","","","","","",""
"2778","1091 South Mission Road","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Fallbrook","San Diego","6/30/1987","417","0","Jpmorgan Chase Bank, National Association","Fallbrook Branch","4770","6/10/2021","11","CA","6073","California","273942","92028",31,"USCGeocoder",464.3409,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",33.3727748,-117.2538827,"Exact","","","","","","","","","","","","","",""
"2779","1100 Palm Ave","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","Imperial Beach","San Diego","11/1/1934","417","0","Jpmorgan Chase Bank, National Association","Imperial Beach Branch","4748","6/10/2021","11","CA","6073","California","273791","91932",32,"USCGeocoder",687.5329,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2638.07555574062","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",32.5839731726715,-117.110584840042,"Exact","","","","","","","","","","","","","",""
"2780","8807 Villa La Jolla Drive","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","La Jolla","San Diego","12/20/2002","417","0","Jpmorgan Chase Bank, National Association","La Jolla Village Center Branch","6269","6/10/2021","11","CA","6073","California","464269","92037",33,"USCGeocoder",421.8833,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","2",32.8681061,-117.2323416,"Exact","","","","","","","","","","","","","",""
"2781","7777 Girard Avenue","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","La Jolla","San Diego","7/8/1957","417","0","Jpmorgan Chase Bank, National Association","La Jolla Downtown Branch","4972","6/10/2021","11","CA","6073","California","282798","92037",34,"USCGeocoder",218.7634,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","2",32.8448789,-117.2734739,"Exact","","","","","","","","","","","","","",""
"2782","4270 Executive Square, Suite B","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","La Jolla","San Diego","1889-01-01","417","0","Jpmorgan Chase Bank, National Association","La Jolla Branch","4952","6/10/2021","24","CA","6073","California","266515","92037",35,"USCGeocoder",343.7512,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","2",32.8744312,-117.2144532,"Exact","","","","","","","","","","","","","",""
"2783","9700 Gilman Drive, Pmb 275","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","La Jolla","San Diego","9/7/2010","417","0","Jpmorgan Chase Bank, National Association","University Of California-San Diego L","7144","6/10/2021","11","CA","6073","California","513378","92093",36,"USCGeocoder",343.7566,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","USPSZip","60","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","1",32.877058,-117.230578,"Relaxed;Soundex","","","","","","","","","","","","","",""
"2784","5605 La Jolla Blvd","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","La Jolla","San Diego","5/7/2013","417","0","Jpmorgan Chase Bank, National Association","Birdrock Banking Center","7730","6/10/2021","11","CA","6073","California","540024","92037",37,"USCGeocoder",156.2505,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1214.62186298845","LinearInterpolationAddressRange","StreetSegment","98.9940828402367","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",32.8141520124052,-117.269630217788,"Relaxed","","","","","","","","","","","","","",""
"2785","4791 Spring Street","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","La Mesa","San Diego","1/1/1926","417","0","Jpmorgan Chase Bank, National Association","La Mesa Branch","4966","6/10/2021","11","CA","6073","California","268086","91941",38,"USCGeocoder",109.3843,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.7657866,-117.0202712,"Exact","","","","","","","","","","","","","",""
"2786","5505 Grossmont Ctr Dr","San Diego-Chula Vista-Carlsbad, CA"," ","0","0","41740","1","San Diego-Chula Vista-Carlsbad, CA","0","41740","628","La Mesa","San Diego","11/1/1934","417","0","Jpmorgan Chase Bank, National Association","Grossmont Branch","4749","6/10/2021","11","CA","6073","California","273793","91942",39,"USCGeocoder",78.1215,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",32.7790509,-117.0072028,"Exact","","","","","","","","","","","","","",""
